Name,Branch,Place,Exams Accepted,Fees
"Vishwakarma Institute of Information Technology, Pune",BE Mechanical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 639,576"
"Tezpur University, Tezpur",B.Tech Mechanical Engineering,"Tezpur, Assam",JEE,"Fees:  ₹ 163,344"
"BMS Institute of Technology and Management, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 132,000"
"Pimpri Chinchwad College of Engineering, Pune",BE Mechanical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 458,164"
"Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",BE Mechanical Engineering,"Kelambakkam, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"TKM College of Engineering, Kollam",B.Tech Mechanical Engineering,"Kollam, Kerala",NA,NA
"Amity School of Engineering, Noida",B.Tech Mechanical Engineering,"Noida, Uttar Pradesh",JEE,"Fees:  ₹ 1,060,000"
"ABES Engineering College, Ghaziabad",B.Tech Mechanical Engineering,"Ghaziabad, Uttar Pradesh",JEE,"Fees:  ₹ 575,200"
"Guru Nanak Dev Engineering College, Ludhiana",B.Tech Mechanical Engineering,"Ludhiana, Punjab",JEE,"Fees:  ₹ 349,456"
"SRM Institute of Science and Technology, Vadapalani Campus",B.Tech Mechanical Engineering,"Vadapalani, Tamil Nadu",NA,NA
"Christ University, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",Christ,"Fees:  ₹ 795,000"
National Institute of Technology Raipur,B.Tech Mechanical Engineering,"Raipur, Chhattisgarh",JEE,"Fees:  ₹ 540,000"
"PES University, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",KCET,"Fees:  ₹ 192,000"
"Dayananda Sagar University, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 220,000"
"GMR Institute of Technology, Rajam",B.Tech Mechanical Engineering,"Srikakulam, Andhra Pradesh",AP,"Fees:  ₹ 440,800"
"AMC Engineering College, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 500,000"
"Sri Krishna College of Engineering and Technology, Coimbatore",BE Mechanical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Graphic Era University, Dehradun",B.Tech Mechanical Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 812,000"
"Sharda University, Greater Noida",B.Tech Mechanical Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 636,000"
"Sri Venkateswara University College of Engineering, Tirupati",B.Tech Mechanical Engineering,"Tirupati, Andhra Pradesh",AP,"Fees:  ₹ 42,000"
"CMR University, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",NA,"Exams:  COMEDK UGET ,  KCET "
"Government Engineering College, Thrissur",B.Tech Mechanical Engineering,"Thrissur, Kerala",KEAM,"Fees:  ₹ 20,685"
"Government College of Engineering, Karad",B.Tech Mechanical Engineering,"Karad, Maharashtra",JEE,"Fees:  ₹ 338,404"
"Birla Institute of Technology Extension Centre, Deoghar",B.Tech Mechanical Engineering,"Deoghar, Jharkhand",JEE,"Fees:  ₹ 624,000"
"Anurag Group of Institutions, Ghatkesar",B.Tech Mechanical Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 500,000"
"Birla Vishvakarma Mahavidyalaya, Anand",B.Tech Mechanical Engineering,"Anand, Gujarat",GUJCET,"Fees:  ₹ 33,260"
"Shanmugha Arts Science Technology Research and Academy, Thanjavur",B.Tech Mechanical Engineering,"Thanjavur, Tamil Nadu",JEE,"Fees:  ₹ 537,000"
"Guru Gobind Singh Indraprastha University, Delhi",B.Tech Mechanical Engineering,"New Delhi, Delhi",IPU,"Fees:  ₹ 256,000"
"Guru Ghasidas Vishwavidyalaya, Bilaspur",B.Tech Mechanical Engineering,"Bilaspur, Chhattisgarh",JEE,"Fees:  ₹ 110,000"
"Malnad College of Engineering, Hassan",BE Mechanical Engineering,"Hassan, Karnataka",KCET,"Fees:  ₹ 105,560"
"Sir M Visvesvaraya Institute of Technology, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 278,311"
"University College of Engineering, Osmania University, Hyderabad",BE Mechanical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 49,700"
"Malla Reddy College of Engineering and Technology, Hyderabad",B.Tech Mechanical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 280,000"
"Dr BC Roy Engineering College, Durgapur",B.Tech Mechanical Engineering,"Durgapur, West Bengal",NA,"Fees:  ₹ 363,000"
"Galgotias College of Engineering and Technology, Greater Noida",B.Tech Mechanical Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 484,412"
"Thapar Institute of Engineering and Technology, Patiala",BE Mechanical Engineering,"Patiala, Punjab",JEE,"Fees:  ₹ 731,100"
"College of Technology, GB Pant University of Agriculture and Technology, Pantnagar",B.Tech Mechanical Engineering,"Pantnagar, Uttarakhand",JEE,"Fees:  ₹ 222,356"
"Lakshmi Narain College of Technology, Bhopal",BE Mechanical Engineering,"Bhopal, Madhya Pradesh",JEE,"Fees:  ₹ 1,052,000"
"Institute of Aeronautical Engineering, Dundigal",B.Tech Mechanical Engineering,"Domara Pocham Pally, Telangana",TS,"Fees:  ₹ 268,000"
"RVR and JC College of Engineering, Guntur",B.Tech Mechanical Engineering,"Guntur, Andhra Pradesh",AP,"Fees:  ₹ 451,000"
"YMCA University of Science and Technology, Faridabad",B.Tech Mechanical Engineering,"Faridabad, Haryana",NA,"Fees:  ₹ 291,800"
"Bhagalpur College of Engineering, Bhagalpur",B.Tech Mechanical Engineering,"Bhagalpur, Bihar",BCECE,"Fees:  ₹ 57,800"
"KLE Technological University, Hubballi",BE Mechanical Engineering,"Hubli, Karnataka",JEE,"Fees:  ₹ 343,200"
"Rajalakshmi Engineering College, Chennai",BE Mechanical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"Jabalpur Engineering College, Jabalpur",BE Mechanical Engineering,"Jabalpur, Madhya Pradesh",JEE,"Fees:  ₹ 89,200"
"GH Raisoni College of Engineering, Nagpur",BE Mechanical Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 628,644"
National Institute of Technology Puducherry Karaikal,B.Tech Mechanical Engineering,"Thiruvettakudy, Puducherry",JEE,"Fees:  ₹ 271,850"
"VNR Vignana Jyothi Institute of Engineering and Technology, Hyderabad",B.Tech Mechanical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 394,000"
"Bennett University, Greater Noida",B.Tech Mechanical Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 1,460,000"
"Guru Nanak Institutions Technical Campus, Ibrahimpatnam",B.Tech Mechanical Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 312,000"
"Chandigarh College of Engineering and Technology, Chandigarh",BE Mechanical Engineering,"Chandigarh, Chandigarh",NA,"Fees:  ₹ 297,000"
"Institute of Engineering and Rural Technology, Allahabad",B.Tech Mechanical Engineering,"Allahabad, Uttar Pradesh",UPSEE,"Fees:  ₹ 184,400"
"MVJ College of Engineering, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 763,000"
"DIT University, Dehradun",B.Tech Mechanical Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 704,340"
"CV Raman College of Engineering, Bhubaneswar",B.Tech Mechanical Engineering,"Bhubaneswar, Odisha",JEE,"Fees:  ₹ 356,000"
"ICFAI Tech School, Hyderabad",B.Tech Mechanical Engineering,"Hyderabad, Telangana",NA,Exams:  ATIT 
"Vishwakarma Government Engineering College, Ahmedabad",BE Mechanical Engineering,"Ahmedabad, Gujarat",NA,"Fees:  ₹ 11,200"
National Institute of Technology Goa,B.Tech Mechanical Engineering,"Ponda, Goa",JEE,"Fees:  ₹ 559,600"
"Shri Govindram Seksaria Institute of Technology and Science, Indore",BE Mechanical Engineering,"Indore, Madhya Pradesh",JEE,"Fees:  ₹ 283,450"
"Jawaharlal Nehru Technological University College of Engineering, Kakinada",B.Tech Mechanical Engineering,"Kakinada, Andhra Pradesh",AP,"Fees:  ₹ 40,000"
"Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",B.Tech Mechanical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 405,000"
"Rajagiri School of Engineering and Technology, Kochi",B.Tech Mechanical Engineering,"Kochi, Kerala",KEAM,"Fees:  ₹ 112,000"
"MKSSS's Cummins College of Engineering for Women, Pune",B.Tech Mechanical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 655,344"
