Name,Branch,Place,Exams Accepted,Fees
"Shiv Nadar University, Greater Noida",B.Tech Civil Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 940,000"
"GL Bajaj Institute of Technology and Management, Greater Noida",B.Tech Civil Engineering,"Greater Noida, Uttar Pradesh",NA,Exams:  UPSEE 
"NMAM Institute of Technology, Karkala Taluk",BE Civil Engineering,"Karkala, Karnataka",KCET,"Fees:  ₹ 782,000"
"Vasavi College of Engineering, Hyderabad",BE Civil Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 640,000"
"The National Institute of Engineering, Mysore",BE Civil Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 76,360"
"Siddaganga Institute of Technology, Tumkur",BE Civil Engineering,"Tumakuru, Karnataka",COMEDK,"Fees:  ₹ 331,470"
Indian Institute of Technology Bhubaneswar,B.Tech Civil Engineering,"Bhubaneshwar, Odisha",JEE,"Fees:  ₹ 993,600"
"Shri Ramdeobaba College of Engineering and Management, Nagpur",BE Civil Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 599,600"
"BS Abdur Rahman Institute of Science and Technology, Chennai",B.Tech Civil Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 630,000"
"Koneru Lakshmaiah Education Foundation, Guntur",B.Tech Civil Engineering,"Guntur, Andhra Pradesh",JEE,"Fees:  ₹ 815,000"
"Government College of Engineering, Amravati",B.Tech Civil Engineering,"Amravati, Maharashtra",JEE,"Fees:  ₹ 335,740"
National Institute of Technology Calicut,B.Tech Civil Engineering,"Kattangal, Kerala",JEE,"Fees:  ₹ 541,320"
"Coimbatore Institute of Technology, Coimbatore",BE Civil Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 238,480"
Indian Institute of Technology Gandhinagar,B.Tech Civil Engineering,"Gandhinagar, Gujarat",JEE,"Fees:  ₹ 986,500"
"Vishwakarma Institute of Information Technology, Pune",BE Civil Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 639,576"
