Name,Branch,Place,Exams Accepted,Fees
"Aurora's Scientific and Technological Institute, Ghatkesar",B.Tech Aeronautical Engineering,"Secunderabad, Telangana",TS,"Fees:  ₹ 261,100"
"C Abdul Hakeem College of Engineering and Technology, Melvisharam",BE Aeronautical Engineering,"Melvisharam, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Rajas Engineering College, Vadakkangulam",B.Tech Aeronautical Engineering,"Vadakankulam, Tamil Nadu",NA,NA
"Mount Zion College of Engineering, Pathanamthitta",B.Tech Aeronautical Engineering,"Kadammanitta, Kerala",NA,"Fees:  ₹ 140,000"
"PB College of Engineering, Kancheepuram",BE Aeronautical Engineering,"Kancheepuram, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Infant Jesus College of Engineering, Thoothukudi",BE Aeronautical Engineering,"Thoothukudi, Tamil Nadu",NA,NA
"Jawaharlal Institute of Technology, Coimbatore",Aeronautical Engineerin,"Thirumalayampalayam, Tamil Nadu",NA,NA
"Shree Devi Institute of Technology, Mangalore",BE Aeronautical Engineering,"Mangaluru, Karnataka",KCET,"Fees:  ₹ 154,000"
"Surya College of Engineering and Technology, Villupuram",BE Aeronautical Engineering,"Salai, Tamil Nadu",NA,NA
"Lord Jegannath College of Engineering and Technology, Kanyakumari",BE Aeronautical Engineering,"Kanyakumari, Tamil Nadu",NA,"Fees:  ₹ 280,000"
"RVS School of Engineering and Technology, Dindigul",BE Aeronautical Engineering,"Padiyur, Tamil Nadu",NA,NA
"Sha-Shib College of Engineering, Chikkaballapur",BE Aeronautical Engineering,"Batthalahalli, Karnataka",NA,NA
"Maria College of Engineering and Technology, Kanyakumari",BE Aeronautical Engineering,"Attoor, Tamil Nadu",NA,NA
"Satyam College of Engineering and Technology, Kanyakumari",BE Aeronautical Engineering,"Aralvaimozhi, Tamil Nadu",NA,NA
"JJ College of Engineering and Technology, Tiruchirappalli",BE Aeronautical Engineering,"Poolangulathupatti, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"NIMRA Institute of Science and Technology, Ibrahimpatnam",B.Tech Aeronautical Engineering,"Ibrahimpatnam, Telangana",NA,Exams:  AP EAMCET 
"Madha Engineering College, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Shahjehan College of Engineering and Technology, Chevella",B.Tech Aeronautical Engineering,"Chevella, Telangana",NA,Exams:  TS EAMCET 
"SKP Engineering College, Tiruvannamalai",BE Aeronautical Engineering,"Malappambadi, Tamil Nadu",NA,NA
"MATS University, Raipur",B.Tech Aeronautical Engineering,"Gullu, Chhattisgarh",NA,NA
"Achutha Institute of Technology, Chikkaballapur",BE Aeronautical Engineering,"Thangadikunte, Karnataka",KCET,"Fees:  ₹ 132,000"
"Jayam College of Engineering and Technology, Dharmapuri",BE Aeronautical Engineering,"Dharmapuri, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Jaya Engineering College, Chennai",BE Aeronautical Engineering,"Thirunindravur, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Kaushik College of Engineering, Visakhapatnam",B.Tech Aeronautical Engineering,"Tallavalasa, Andhra Pradesh",NA,"Fees:  ₹ 140,000"
"Thiruvalluvar College of Engineering and Technology, Vandavasi",B.Tech Aeronautical Engineering,"Ponnur Malai, Tamil Nadu",NA,NA
"Mahendra Institute of Engineering and Technology, Tiruchengode",BE Aeronautical Engineering,"Tiruchengode, Tamil Nadu",NA,NA
"Park College of Technology, Karumathampatti",BE Aeronautical Engineering,"Karumathampatti, Tamil Nadu",NA,NA
"PMR Engineering College, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,NA
"MAM School of Engineering, Siruganur",BE Aeronautical Engineering,"Siruganur, Tamil Nadu",NA,NA
"Maheshwara Institute of Technology, Patancheru",B. Tech Aeronautical Engineering,"Hyderabad, Telangana",NA,NA
"Tagore Engineering College, Chennai",BE Aeronautical Engineering,"Rathinamangalam, Tamil Nadu",JEE,"Fees:  ₹ 200,000"
"Punjab State Aeronautical Engineering College, Patiala",B.Tech Aeronautical Engineering,"Patiala, Punjab",NA,NA
"Gopal Ramalingam Memorial Engineering College, Chennai",BE Aeronautical Engineering,"Vattampakkam, Tamil Nadu",NA,NA
"Rajaas Engineering College, Tirunelveli",BE Aeronautical Engineering,"Adangarkulam, Tamil Nadu",NA,NA
"Immanuel Araser JJ college of Engineering, Kanyakumari",BE Aeronautical Engineering,"Marthandam, Tamil Nadu",NA,NA
"Bikaner Technical University, Bikaner",B.Tech Aeronautical Engineering,"Bikaner, Rajasthan",NA,NA
"Maharaja Ranjit Singh Punjab Technical University, Bathinda",B.Tech Aeronautical Engineering,"Bathinda, Punjab",NA,NA
"SKP Institute of Technology, Tiruvannamalai",BE Aeronautical Engineering,"Tiruvannamalai, Tamil Nadu",NA,NA
"Parisutham Institute of Technology and Science, Thanjavur",BE Aeronautical Engineering,"Inathukanpatti, Tamil Nadu",NA,"Fees:  ₹ 395,600"
"Paavaai Group of Institutions- School of Engineering, Pachal",B. Tech Aeronautical Engineering,"Pachal, Tamil Nadu",NA,NA
"Infant Jesus College of Engineering and Technology, Thoothukudi",BE Aeronautical Engineering,"Vallanadu, Tamil Nadu",NA,NA
"Tamizhan College of Engineering and Technology, Kanyakumari",BE Aeronautical Engineering,"Chenbagaramanputhoor, Tamil Nadu",NA,NA
"Surya School of Engineering and Technology, Villupuram",BE Aeronautical Engineering,"Villupuram, Tamil Nadu",NA,NA
"Srinivasan Engineering College, Perambalur",BE Aeronautical Engineering,"Perambalur, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Bandari Srinivas College of Engineering and Technology, Ranga Reddy",Aeronautical Engineering,"Dharmasagar, Telangana",NA,NA
